"","term","estimate","conf.low","conf.high","model_name"
"1","Invasive_at_3_daysFROMpeakTROP",0.352416620081125,0.20928191727777,0.593445796583385,"up to 3 months"
"2","agesp1",0.978860538619846,0.930788237301128,1.02941562395051,"up to 3 months"
"3","agesp2",1.03774982762176,0.981909627121705,1.09676560345559,"up to 3 months"
"4","creatininesp1",1.00737863718655,0.985871831352596,1.02935461424791,"up to 3 months"
"5","creatininesp2",0.993247177749463,0.968877438576804,1.01822987802917,"up to 3 months"
"6","haemoglobinsp1",1.11298887136031,0.928912000447015,1.33354314205843,"up to 3 months"
"7","haemoglobinsp2",0.755725843452681,0.572185429173506,0.99814067493334,"up to 3 months"
"8","plateletcountsp1",0.996768744511574,0.99054820108571,1.0030283523267,"up to 3 months"
"9","plateletcountsp2",1.00428500024155,0.998137096307602,1.01047077144134,"up to 3 months"
"10","sodiumsp1",0.994861482088836,0.926478491259348,1.0682917929359,"up to 3 months"
"11","sodiumsp2",0.986116529439156,0.905653895225817,1.07372784985445,"up to 3 months"
"12","lsptsp1",1.57994865449015,1.00551856212188,2.48253771224032,"up to 3 months"
"13","lsptsp2",0.896516831535939,0.679212325015076,1.18334488292655,"up to 3 months"
"14","whitecellsp1",1.11187870073336,0.938954236565453,1.31665015929487,"up to 3 months"
"15","whitecellsp2",0.937995268088212,0.800879752502943,1.09858579918668,"up to 3 months"
"16","diabetes",0.993498279582144,0.607420226184405,1.62496866087733,"up to 3 months"
"17","FhxCHD",0.613274725872392,0.265490926514977,1.41664310088066,"up to 3 months"
"18","Smoking",0.55392921035963,0.301378541392262,1.01811352816349,"up to 3 months"
"19","Aortic_aneurysm",0.867753508839006,0.110664001869394,6.80434594251433,"up to 3 months"
"20","aortic_stenosis",1.79201554241552,0.659601698284361,4.86857403886545,"up to 3 months"
"21","atrial_fibrillation",1.32041652725218,0.67464562167814,2.58431945515909,"up to 3 months"
"22","Cardiac_arrest",10.0888980167856,5.13296838007346,19.8298247049876,"up to 3 months"
"23","HF",1.20659271233856,0.678639947464655,2.14527007864409,"up to 3 months"
"24","PVD",1.90843002086327,0.919810544239168,3.95962534604862,"up to 3 months"
"25","Previous_MI",0.754924157007574,0.400299739790804,1.42370935122623,"up to 3 months"
"26","VT",2.09914644928528,0.61342193317527,7.18333593443256,"up to 3 months"
"27","AKI",1.52667422868079,0.795382953316315,2.93032958627062,"up to 3 months"
"28","Urinary_incontinence",2.84545890296017,0.345913821152007,23.4065130484547,"up to 3 months"
"29","Interstitial_lung_disease",3.05059778986542,0.290238884508008,32.0637494569582,"up to 3 months"
